Sequence Name,Step,Subject Line,CTA Text,CTA URL,Step Clicks,Step Delivered,Step Click Rate
VP of CX Sequence: Full Auto (Q1),Step 1,"Reduce manual work, higher CSAT",CX outcomes,https://go.inkeep.com/DqaJSmZ,25,108,23.1%
VP of CX Sequence: Full Auto (Q1),Step 1,The problem with fragmented Support AI,fragmented AI stacks.,https://go.inkeep.com/XS4OvKR,25,94,26.6%
VP of CX Sequence: Full Auto (Q1),Step 2,Automate support manual work in 5 min,PostHog,https://go.inkeep.com/urKffTV,26,81,32.1%
VP of CX Sequence: Full Auto (Q1),Step 2,Automate support manual work in 5 min,Fingerprint,https://go.inkeep.com/85NHhEd,26,81,32.1%
VP of CX Sequence: Full Auto (Q1),Step 2,Automate support manual work in 5 min,Payabli,https://go.inkeep.com/xl4A4w8,26,81,32.1%
VP of CX Sequence: Full Auto (Q1),Step 3,One platform to scale your technical support,build-vs-buy,https://go.inkeep.com/fRJNpg8,20,82,24.4%
VP of Support Sequence: Full Auto (Q1),Step 1,Automate manual support work in 5 min,deflection,https://go.inkeep.com/DqaJSmZ,13,28,46.4%
VP of Support Sequence: Full Auto (Q1),Step 1,AI Support beyond T1 deflection,Support Leader,https://go.inkeep.com/VDhW1X3,10,25,40.0%
VP of Support Sequence: Full Auto (Q1),Step 2,Automate support manual work in 5 min,manual ticket,https://go.inkeep.com/K3Yju0T,10,24,41.7%
VP of Support Sequence: Full Auto (Q1),Step 3,Your technical support is wasting time on manual work,structured pilot,https://go.inkeep.com/aO2fBTh,9,29,31.0%
VP of Support Sequence: Full Auto (Q1),Step 3,One platform to scale your technical support,platform decisions.,https://go.inkeep.com/fRJNpg8,13,20,65.0%
Support Engineering & Technical Support (Manager+) (Q1),Step 1,Ask AI that goes beyond T1 deflection,B2B Support Leaders,https://go.inkeep.com/VDhW1X3,84,393,21.4%
Support Engineering & Technical Support (Manager+) (Q1),Step 1,The problem with fragmented Support AI,Support Leader,https://go.inkeep.com/VDhW1X3,68,257,26.5%
Support Engineering & Technical Support (Manager+) (Q1),Step 1,Ask AI that goes beyond T1 deflection,We wrote an article,https://inkeep.com/blog/how-technical-b2b-companies-should-measure-ai-support-agent,24,113,21.2%
Support Engineering & Technical Support (Manager+) (Q1),Step 2,Automate support manual work in 5 min,manual reports,https://go.inkeep.com/K3Yju0T,88,337,26.1%
Support Engineering & Technical Support (Manager+) (Q1),Step 2,One platform to scale your technical support,point AI tools stall,https://go.inkeep.com/XS4OvKR,67,170,39.4%
Support Operations & Customer Support (Q1),Step 1,Ask AI that reduces AHT,manual ticket,https://go.inkeep.com/K3Yju0T,8,30,26.7%
Support Operations & Customer Support (Q1),Step 2,Automate support manual work in 5 min,“Groundhog Day”,https://go.inkeep.com/mjN5ccQ,9,34,26.5%
Support Operations & Customer Support (Q1),Step 2,One platform to scale your technical support,breakdown,https://go.inkeep.com/XS4OvKR,6,34,17.6%
Support Operations & Customer Support (Q1),Step 3,One platform to scale your technical support,“Groundhog Day”,https://go.inkeep.com/mjN5ccQ,3,29,10.3%
B2B nonTechnical VP of Support: Full Auto (Q1),Step 1,Automate manual support work in 5 min,deflection,https://go.inkeep.com/DqaJSmZ,0,2,0.0%
B2B nonTechnical VP of Support: Full Auto (Q1),Step 1,AI Support beyond T1 deflection,Support Leader,https://go.inkeep.com/VDhW1X3,1,5,20.0%
B2B nonTechnical VP of Support: Full Auto (Q1),Step 2,Automate support manual work in 5 min,manual ticket,https://go.inkeep.com/K3Yju0T,0,2,0.0%
B2B nonTechnical VP of Support: Full Auto (Q1),Step 3,Your technical support is wasting time on manual work,structured pilot,https://go.inkeep.com/aO2fBTh,0,2,0.0%
B2B nonTechnical VP of Support: Full Auto (Q1),Step 3,One platform to scale your technical support,platform decisions.,https://go.inkeep.com/fRJNpg8,2,5,40.0%
B2B nonTechnical VP of CX: Full Auto (Q1),Step 1,"Reduce manual work, higher CSAT",CX outcomes,https://go.inkeep.com/DqaJSmZ,0,12,0.0%
B2B nonTechnical VP of CX: Full Auto (Q1),Step 1,The problem with fragmented Support AI,fragmented AI stacks.,https://go.inkeep.com/XS4OvKR,2,17,11.8%
B2B nonTechnical VP of CX: Full Auto (Q1),Step 2,Automate support manual work in 5 min,PostHog,https://go.inkeep.com/urKffTV,2,15,13.3%
B2B nonTechnical VP of CX: Full Auto (Q1),Step 2,Automate support manual work in 5 min,Fingerprint,https://go.inkeep.com/85NHhEd,2,15,13.3%
B2B nonTechnical VP of CX: Full Auto (Q1),Step 2,Automate support manual work in 5 min,Payabli,https://go.inkeep.com/xl4A4w8,2,15,13.3%
B2B nonTechnical VP of CX: Full Auto (Q1),Step 3,One platform to scale your technical support,build-vs-buy,https://go.inkeep.com/fRJNpg8,3,12,25.0%
B2B nonTechncial Ops & Technical Support  (Manager+) (Q1),Step 1,Ask AI that goes beyond T1 deflection,B2B Support Leaders,https://go.inkeep.com/VDhW1X3,20,68,29.4%
B2B nonTechncial Ops & Technical Support  (Manager+) (Q1),Step 1,The problem with fragmented Support AI,Support Leader,https://go.inkeep.com/VDhW1X3,15,80,18.8%
B2B nonTechncial Ops & Technical Support  (Manager+) (Q1),Step 2,Automate support manual work in 5 min,manual reports,https://go.inkeep.com/K3Yju0T,24,80,30.0%
B2B nonTechncial Ops & Technical Support  (Manager+) (Q1),Step 2,One platform to scale your technical support,point AI tools stall,https://go.inkeep.com/XS4OvKR,16,52,30.8%
B2B nonTechnical CS (Q1),Step 1,Ask AI that increases CSAT,Ask AI,https://go.inkeep.com/oFEQG4h,93,326,28.5%
B2B nonTechnical CS (Q1),Step 2,Automate support manual work in 5 min,“Groundhog Day”,https://go.inkeep.com/mjN5ccQ,58,216,26.9%
B2B nonTechnical CS (Q1),Step 2,One platform to scale your technical support,breakdown,https://go.inkeep.com/XS4OvKR,63,221,28.5%
B2B nonTechnical CS (Q1),Step 3,One platform to scale your technical support,“Groundhog Day”,https://go.inkeep.com/mjN5ccQ,30,112,26.8%
