Sequence Name,Step,Step Type,Day,Subject Line,A/B Variant,Body Preview (100 chars),Delivered,Opens,Replies,Clicks,Opt-Outs,Bounces,Open Rate,Reply Rate,Click Rate
VP of CX Sequence: Full Auto (Q1),Step 1,auto_email,Day 0,"Reduce manual work, higher CSAT",Manual Work,"Hi {{first_name}},A lot of “bad CX” in technical support is really manual work hidden from customers",108,45,0,25,1,3,41.7%,0.0%,23.1%
VP of CX Sequence: Full Auto (Q1),Step 1,auto_email,Day 0,The problem with fragmented Support AI,Fragmented,"Hi {{first_name}},When chat, ticketing, and agent tools all with partial context, customers interpre",94,51,0,25,1,4,54.3%,0.0%,26.6%
VP of CX Sequence: Full Auto (Q1),Step 2,auto_email,Day 3,Automate support manual work in 5 min,Manual Work,"Hey {{first_name}},Manual work doesn’t just burn team time, it quietly drags down CX metrics.Teams l",81,47,0,26,0,0,58.0%,0.0%,32.1%
VP of CX Sequence: Full Auto (Q1),Step 2,auto_email,Day 3,One platform to scale your technical support,Fragmented,"Hi {{first_name}},Anthropic, Posthog, and Clay uses Inkeep to build a single AI platform for support",62,48,0,20,0,1,77.4%,0.0%,32.3%
VP of CX Sequence: Full Auto (Q1),Step 3,auto_email,Day 2,Your technical support is wasting time on manual work,Manual Work,"Hey {{first_name}}Teams like Anthropic, Posthog, and Clay use Inkeep to reduce overhead by automatic",81,45,0,10,0,0,55.6%,0.0%,12.3%
VP of CX Sequence: Full Auto (Q1),Step 3,auto_email,Day 2,One platform to scale your technical support,Fragmented,"Hey {{first_name}}At some point, AI in CX stops being a feature decision and becomes an operating-mo",82,34,0,20,0,0,41.5%,0.0%,24.4%
VP of Support Sequence: Full Auto (Q1),Step 1,auto_email,Day 0,Automate manual support work in 5 min,Manual Work,"Hey {{first_name}},In technical B2B support, time is wasted on manual work instead of resolving cust",28,21,0,13,1,1,75.0%,0.0%,46.4%
VP of Support Sequence: Full Auto (Q1),Step 1,auto_email,Day 0,AI Support beyond T1 deflection,Fragmented,"Hi {{first_name}},For support engineering teams, fragmented AI support breaks context.Chatbots, tick",25,15,0,10,0,0,60.0%,0.0%,40.0%
VP of Support Sequence: Full Auto (Q1),Step 2,auto_email,Day 3,Automate support manual work in 5 min,Manual Work,"Hey {{first_name}},Deflecting T1 with AI is easy…But T2/T3 still remains manual. Valuable Support En",24,15,0,10,0,0,62.5%,0.0%,41.7%
VP of Support Sequence: Full Auto (Q1),Step 2,auto_email,Day 3,One platform to scale your technical support,Fragmented,"Hi {{first_name}},Anthropic, Posthog, and Clay uses Inkeep to build a single AI platform for support",24,17,0,13,0,0,70.8%,0.0%,54.2%
VP of Support Sequence: Full Auto (Q1),Step 3,auto_email,Day 2,Your technical support is wasting time on manual work,Manual Work,Hey {{first_name}}We run a structured pilot to de-risk rollout: Connect your data & tools Test & val,29,16,0,9,0,0,55.2%,0.0%,31.0%
VP of Support Sequence: Full Auto (Q1),Step 3,auto_email,Day 2,One platform to scale your technical support,Fragmented,"Hey {{first_name}}Most support teams aren’t looking for another AI feature, they’re looking for a pl",20,15,0,13,1,0,75.0%,0.0%,65.0%
Support Engineering & Technical Support (Manager+) (Q1),Step 1,auto_email,Day 0,Ask AI that goes beyond T1 deflection,Manual Work,"Hi {{first_name}},Biggest waste in T2/T3 is still time to reproduce.Not because engineers can’t debu",393,180,0,84,5,18,45.8%,0.0%,21.4%
Support Engineering & Technical Support (Manager+) (Q1),Step 1,auto_email,Day 0,The problem with fragmented Support AI,Fragmented,"Hi {{first_name}},For support engineering teams, fragmented AI support breaks context.Chatbots, tick",257,127,0,68,6,14,49.4%,0.0%,26.5%
Support Engineering & Technical Support (Manager+) (Q1),Step 2,auto_email,Day 3,Automate support manual work in 5 min,Manual Work,"Hey {{first_name}},Most “Ask AI” tools just deflect T1.Traditional AI tools breaks in T2/T3: where e",337,172,1,88,1,1,51.0%,0.3%,26.1%
Support Engineering & Technical Support (Manager+) (Q1),Step 2,auto_email,Day 3,One platform to scale your technical support,Fragmented,"Hi {{first_name}},Most Ask AI in support work well at first, especially for deflection or simple ass",170,91,0,67,1,0,53.5%,0.0%,39.4%
Support Engineering & Technical Support (Manager+) (Q1),Step 3,auto_email,Day 2,Your technical support is wasting time on manual work,Manual Work,"Hey {{first_name}}Teams like Anthropic, Posthog, and Clay uses Inkeep as a single AI platform for te",292,146,0,79,3,1,50.0%,0.0%,27.1%
Support Engineering & Technical Support (Manager+) (Q1),Step 3,auto_email,Day 2,One platform to scale your technical support,Fragmented,"Hey {{first_name}}Teams like Anthropic, Posthog, and Clay use Inkeep as a single AI platform for tec",114,54,0,30,1,0,47.4%,0.0%,26.3%
Support Operations & Customer Support (Q1),Step 1,auto_email,Day 0,Ask AI that reduces AHT,Manual Work,"Hi {{first_name}},For support teams, AHT is rarely about typing speed, it’s about how long agents sp",30,15,0,8,0,0,50.0%,0.0%,26.7%
Support Operations & Customer Support (Q1),Step 1,auto_email,Day 0,fragmented AI increases AHT,Fragmented,"Hey {{first_name}}For support teams, fragmented AI usually shows up in the numbers before it shows u",39,21,0,7,2,0,53.8%,0.0%,17.9%
Support Operations & Customer Support (Q1),Step 2,auto_email,Day 3,Automate support manual work in 5 min,Manual Work,"Hey {{first_name}},Support teams lose a surprising amount of time to the same issues resurfacing qui",34,17,0,9,0,1,50.0%,0.0%,26.5%
Support Operations & Customer Support (Q1),Step 2,auto_email,Day 3,One platform to scale your technical support,Fragmented,"Hi {{first_name}},We put together a short breakdown on why point AI tools hit a ceiling for support",34,16,0,6,0,0,47.1%,0.0%,17.6%
Support Operations & Customer Support (Q1),Step 3,auto_email,Day 2,Your technical support is wasting time on manual work,Manual Work,"Hey {{first_name}}Teams like Anthropic, Posthog, and Clay use Inkeep to reduce overhead by automatic",35,17,0,11,0,0,48.6%,0.0%,31.4%
Support Operations & Customer Support (Q1),Step 3,auto_email,Day 2,One platform to scale your technical support,Fragmented,Hey {{first_name}}Another side effect of fragmented AI stacks is how often teams end up solving the,29,13,0,3,0,0,44.8%,0.0%,10.3%
B2B nonTechnical VP of Support: Full Auto (Q1),Step 1,auto_email,Day 0,Automate manual support work in 5 min,Manual Work,"Hey {{first_name}},In B2B support, time is wasted on manual work instead of resolving customer issue",2,0,0,0,0,0,0.0%,0.0%,0.0%
B2B nonTechnical VP of Support: Full Auto (Q1),Step 1,auto_email,Day 0,AI Support beyond T1 deflection,Fragmented,"Hi {{first_name}},For B2B support teams, fragmented AI support breaks context.Chatbots, ticket copil",5,1,0,1,0,0,20.0%,0.0%,20.0%
B2B nonTechnical VP of Support: Full Auto (Q1),Step 2,auto_email,Day 3,Automate support manual work in 5 min,Manual Work,"Hey {{first_name}},Deflecting T1 with AI is easy…But T2/T3 still remains manual. Valuable technical",2,0,0,0,0,0,0.0%,0.0%,0.0%
B2B nonTechnical VP of Support: Full Auto (Q1),Step 2,auto_email,Day 3,One platform to scale your technical support,Fragmented,"Hi {{first_name}},Anthropic, Posthog, and Clay uses Inkeep to build a single AI platform for support",5,3,0,2,0,0,60.0%,0.0%,40.0%
B2B nonTechnical VP of Support: Full Auto (Q1),Step 3,auto_email,Day 2,Your technical support is wasting time on manual work,Manual Work,"Hey {{first_name}}We run a structured pilot to de-risk rollout: Connect your data & tools, Test & va",2,0,0,0,0,0,0.0%,0.0%,0.0%
B2B nonTechnical VP of Support: Full Auto (Q1),Step 3,auto_email,Day 2,One platform to scale your technical support,Fragmented,"Hey {{first_name}}Most support teams aren’t looking for another AI feature, they’re looking for a pl",5,3,0,2,0,0,60.0%,0.0%,40.0%
B2B nonTechnical VP of CX: Full Auto (Q1),Step 1,auto_email,Day 0,"Reduce manual work, higher CSAT",Manual Work,"Hi {{first_name}},A lot of “bad CX” in technical support is really manual work hidden from customers",12,1,0,0,0,0,8.3%,0.0%,0.0%
B2B nonTechnical VP of CX: Full Auto (Q1),Step 1,auto_email,Day 0,The problem with fragmented Support AI,Fragmented,"Hi {{first_name}},When chat, ticketing, and agent tools all with partial context, customers interpre",17,6,0,2,0,1,35.3%,0.0%,11.8%
B2B nonTechnical VP of CX: Full Auto (Q1),Step 2,auto_email,Day 3,Automate support manual work in 5 min,Manual Work,"Hey {{first_name}},Manual work doesn’t just burn team time, it quietly drags down CX metrics.Teams l",15,7,0,2,0,0,46.7%,0.0%,13.3%
B2B nonTechnical VP of CX: Full Auto (Q1),Step 2,auto_email,Day 3,One platform to scale your technical support,Fragmented,"Hi {{first_name}},Anthropic, Posthog, and Clay uses Inkeep to build a single AI platform for support",13,7,0,3,1,0,53.8%,0.0%,23.1%
B2B nonTechnical VP of CX: Full Auto (Q1),Step 3,auto_email,Day 2,Your technical support is wasting time on manual work,Manual Work,"Hey {{first_name}}Teams like Anthropic, Posthog, and Clay use Inkeep to reduce overhead by automatic",15,7,0,2,0,0,46.7%,0.0%,13.3%
B2B nonTechnical VP of CX: Full Auto (Q1),Step 3,auto_email,Day 2,One platform to scale your technical support,Fragmented,"Hey {{first_name}}At some point, AI in CX stops being a feature decision and becomes an operating-mo",12,6,0,3,0,0,50.0%,0.0%,25.0%
B2B nonTechncial Ops & Technical Support  (Manager+) (Q1),Step 1,auto_email,Day 0,Ask AI that goes beyond T1 deflection,Manual Work,"Hi {{first_name}},Biggest waste in T2/T3 is still time to reproduce.Not because technical support ca",68,31,0,20,2,4,45.6%,0.0%,29.4%
B2B nonTechncial Ops & Technical Support  (Manager+) (Q1),Step 1,auto_email,Day 0,The problem with fragmented Support AI,Fragmented,"Hi {{first_name}},For B2B support teams, fragmented AI support breaks context.Chatbots, ticket copil",80,32,0,15,1,7,40.0%,0.0%,18.8%
B2B nonTechncial Ops & Technical Support  (Manager+) (Q1),Step 2,auto_email,Day 3,Automate support manual work in 5 min,Manual Work,"Hey {{first_name}},Most “Ask AI” tools just deflect T1.Traditional AI tools breaks in T2/T3: where e",80,47,0,24,1,1,58.8%,0.0%,30.0%
B2B nonTechncial Ops & Technical Support  (Manager+) (Q1),Step 2,auto_email,Day 3,One platform to scale your technical support,Fragmented,"Hi {{first_name}},Most Ask AI in support work well at first, especially for deflection or simple ass",52,32,0,16,0,0,61.5%,0.0%,30.8%
B2B nonTechncial Ops & Technical Support  (Manager+) (Q1),Step 3,auto_email,Day 2,Your technical support is wasting time on manual work,Manual Work,"Hey {{first_name}}Teams like Anthropic, Posthog, and Clay uses Inkeep as a single AI platform for su",70,43,0,22,0,1,61.4%,0.0%,31.4%
B2B nonTechncial Ops & Technical Support  (Manager+) (Q1),Step 3,auto_email,Day 2,One platform to scale your technical support,Fragmented,"Hey {{first_name}}Teams like Anthropic, Posthog, and Clay uses Inkeep as a single AI platform for su",58,29,0,13,0,0,50.0%,0.0%,22.4%
B2B nonTechnical CS (Q1),Step 1,auto_email,Day 0,Ask AI that increases CSAT,Manual Work,"Hi {{first_name}},A lot of “bad CX and CS” in support is really manual work hidden from customers:Su",326,202,0,93,10,17,62.0%,0.0%,28.5%
